Current selection ,Updated list
Analysis & Corporate Insight,"Data, Analytics and Research"
,Authorised Corporate Service Providers (ACSPs)
Belfast office/ LFP Belfast,Belfast Office
Building services,Estates
,CDD Senior Managers
,CEO & Directors
Directors Support,Chief Executive Office
Communications Team,Internal Communications
COT Company Support,Customer Service & Enablers
,Change Management
CPES,Maintain a Company
,Community Interest Companies (CIC)
Customer Delivery Support,Customer Delivery Support
Customer Services,Customer Services
Purchasing,Commercial
LFP / Technical Offences / Prosecution,Compliance & Enforcement
,Compliance & Enforcement Service 
,Continuous Improvement & Ideas Hub
Finance Operations Finance Systems,Core Finance
,Create & Close a Company
Future CH,Delete
Human Resources & Estates,Human Resources
IT Services,IT Services
,Cyber Security
Legal,Legal
,Economics
LFP Edinburgh/ Edinburgh Office,Edinburgh Office
London Office,Delete
,External Communications
,Filing Service
Management Accounts,Management Accounts
,Get Company Information Service
Product,Product Delivery/Design
Programmes & Project Management,Project Management Office/ Portfolio
,Implementation Leads
Register Integrity / Register Functions,Integrity Compliance & Enforcement
,Innovation & Outreach
,Intelligence
Secure Unit,Secure Unit
,Intelligence & Enforcement  
Strategy and Policy,Strategy & Planning
,Knowledge & Information Management
,Organisational Development & Design
,Policy
,Register of Overseas Entities (ROE)
,Software Engineering
Development,Software Developer
,Strategic Finance
,
,
,
,
